TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI vs. LAC,3/13/18,L,240,106,43,101,42.6,7,29,24.1,13,15,86.7,11,34,45,26,11,2,9,28,-6
CHI,CHI @ ATL,3/11/18,W,240,129,48,98,49,17,37,45.9,16,19,84.2,13,34,47,31,10,4,5,24,7
CHI,CHI @ DET,3/9/18,L,240,83,33,93,35.5,9,31,29,8,10,80,10,32,42,19,11,0,14,19,-16
CHI,CHI vs. MEM,3/7/18,W,240,119,42,79,53.2,11,29,37.9,24,32,75,9,32,41,25,10,1,20,22,9
CHI,CHI vs. BOS,3/5/18,L,240,89,32,81,39.5,12,33,36.4,13,20,65,7,29,36,18,14,1,14,16,-16
CHI,CHI vs. DAL,3/2/18,W,240,108,42,89,47.2,10,27,37,14,20,70,11,34,45,24,10,2,13,18,8
CHI,CHI @ CHA,2/27/18,L,240,103,39,81,48.1,9,24,37.5,16,21,76.2,11,33,44,26,8,5,21,23,-15
CHI,CHI @ BKN,2/26/18,L,240,87,33,93,35.5,6,23,26.1,15,23,65.2,15,41,56,17,8,7,14,11,-17
CHI,CHI @ MIN,2/24/18,L,240,104,42,90,46.7,6,23,26.1,14,20,70,4,38,42,21,5,9,15,20,-18
CHI,CHI vs. PHI,2/22/18,L,240,115,44,97,45.4,18,34,52.9,9,15,60,11,37,48,27,5,4,14,26,-1
CHI,CHI vs. TOR,2/14/18,L,240,98,39,91,42.9,4,24,16.7,16,20,80,4,38,42,17,5,6,6,16,-24
CHI,CHI vs. ORL,2/12/18,W,240,105,40,88,45.5,9,32,28.1,16,21,76.2,11,35,46,25,6,3,11,13,4
CHI,CHI vs. WAS,2/10/18,L,240,90,34,80,42.5,9,32,28.1,13,16,81.3,9,36,45,23,11,2,16,16,-11
CHI,CHI vs. MIN,2/9/18,W,240,114,41,83,49.4,9,26,34.6,23,30,76.7,5,34,39,22,5,4,11,19,1
CHI,CHI @ SAC,2/5/18,L,240,98,32,80,40,14,36,38.9,20,24,83.3,9,37,46,20,6,1,12,21,-6
CHI,CHI @ LAC,2/3/18,L,240,103,35,97,36.1,12,37,32.4,21,21,100,13,35,48,22,6,4,12,20,-10
CHI,CHI @ POR,1/31/18,L,240,108,41,99,41.4,13,34,38.2,13,22,59.1,12,24,36,19,10,4,6,16,-16
CHI,CHI vs. MIL,1/28/18,L,240,96,36,87,41.4,12,34,35.3,12,15,80,10,31,41,25,8,2,16,18,-14
CHI,CHI vs. LAL,1/26/18,L,240,103,35,93,37.6,17,36,47.2,16,24,66.7,16,37,53,21,3,7,14,25,-5
CHI,CHI @ PHI,1/24/18,L,240,101,36,94,38.3,11,37,29.7,18,22,81.8,10,33,43,20,8,2,11,15,-14
CHI,CHI @ NOP,1/22/18,L,290,128,45,92,48.9,8,31,25.8,30,34,88.2,6,48,54,31,8,6,24,32,-4
CHI,CHI @ ATL,1/20/18,W,240,113,40,80,50,14,32,43.8,19,21,90.5,4,44,48,31,8,1,16,23,16
CHI,CHI vs. GSW,1/17/18,L,240,112,45,106,42.5,10,39,25.6,12,13,92.3,14,35,49,24,10,2,11,19,-7
CHI,CHI vs. MIA,1/15/18,W,240,119,42,88,47.7,16,39,41,19,22,86.4,7,38,45,27,6,2,10,23,8
CHI,CHI vs. DET,1/13/18,W,240,107,42,87,48.3,17,36,47.2,6,9,66.7,6,34,40,27,10,8,15,11,2
CHI,CHI @ NYK,1/10/18,W,290,122,45,98,45.9,15,33,45.5,17,20,85,10,38,48,21,10,5,17,19,3
CHI,CHI vs. HOU,1/8/18,L,240,107,40,86,46.5,12,28,42.9,15,18,83.3,3,34,37,26,6,5,13,17,-9
CHI,CHI @ IND,1/6/18,L,240,86,30,80,37.5,10,32,31.3,16,20,80,9,24,33,15,4,6,16,15,-39
CHI,CHI @ DAL,1/5/18,W,240,127,44,78,56.4,14,28,50,25,31,80.6,8,34,42,25,9,3,19,19,3
CHI,CHI vs. TOR,1/3/18,L,240,115,43,93,46.2,13,33,39.4,16,19,84.2,9,34,43,29,5,2,13,20,-9
CHI,CHI vs. POR,1/1/18,L,265,120,45,104,43.3,11,27,40.7,19,23,82.6,15,43,58,28,5,7,12,21,-4
CHI,CHI @ WAS,12/31/17,L,240,110,42,92,45.7,8,35,22.9,18,22,81.8,10,36,46,24,6,1,12,22,-4
CHI,CHI vs. IND,12/29/17,W,240,119,43,85,50.6,18,39,46.2,15,15,100,7,33,40,31,6,4,15,20,12
CHI,CHI vs. NYK,12/27/17,W,240,92,35,86,40.7,10,28,35.7,12,16,75,4,46,50,23,9,3,15,15,5
CHI,CHI @ MIL,12/26/17,W,240,115,45,103,43.7,10,28,35.7,15,25,60,15,32,47,26,11,3,7,19,9
CHI,CHI @ BOS,12/23/17,L,240,92,34,86,39.5,7,19,36.8,17,25,68,12,39,51,24,4,2,15,16,-25
CHI,CHI @ CLE,12/21/17,L,240,112,47,85,55.3,12,31,38.7,6,8,75,5,30,35,34,8,1,14,19,-3
CHI,CHI vs. ORL,12/20/17,W,240,112,44,87,50.6,11,32,34.4,13,14,92.9,9,42,51,31,6,8,13,23,18
CHI,CHI vs. PHI,12/18/17,W,240,117,44,92,47.8,13,28,46.4,16,19,84.2,5,34,39,27,9,7,16,16,2
CHI,CHI @ MIL,12/15/17,W,240,115,42,86,48.8,8,22,36.4,23,35,65.7,14,36,50,24,8,0,12,26,6
CHI,CHI vs. UTA,12/13/17,W,240,103,41,93,44.1,7,17,41.2,14,21,66.7,9,37,46,21,9,3,9,14,3
CHI,CHI vs. BOS,12/11/17,W,240,108,39,81,48.1,12,29,41.4,18,25,72,10,36,46,23,9,3,9,18,23
CHI,CHI vs. NYK,12/9/17,W,240,104,42,82,51.2,7,25,28,13,23,56.5,8,32,40,28,10,7,15,19,2
CHI,CHI @ CHA,12/8/17,W,265,119,48,99,48.5,6,18,33.3,17,22,77.3,6,50,56,23,5,7,14,28,8
CHI,CHI @ IND,12/6/17,L,240,96,39,83,47,10,26,38.5,8,16,50,11,35,46,18,3,5,16,15,-2
CHI,CHI vs. CLE,12/4/17,L,240,91,34,82,41.5,9,34,26.5,14,18,77.8,10,33,43,21,4,5,11,16,-22
CHI,CHI vs. SAC,12/1/17,L,240,106,42,90,46.7,13,36,36.1,9,13,69.2,8,30,38,30,8,2,9,16,-1
CHI,CHI @ DEN,11/30/17,L,240,110,44,82,53.7,9,24,37.5,13,21,61.9,6,34,40,25,4,4,11,27,-1
CHI,CHI vs. PHX,11/28/17,L,240,99,38,94,40.4,16,40,40,7,10,70,9,32,41,27,11,7,9,20,-5
CHI,CHI vs. MIA,11/26/17,L,240,93,33,89,37.1,14,33,42.4,13,16,81.3,7,40,47,25,10,2,14,18,-7
