TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. NYK,3/11/20,L,265,131,48,106,45.3,14,41,34.1,21,26,80.8,15,38,53,26,6,3,17,25,-5
ATL,ATL vs. CHA,3/9/20,W,290,143,53,96,55.2,21,43,48.8,16,27,59.3,12,41,53,33,1,5,16,26,5
ATL,ATL @ MEM,3/7/20,L,240,101,32,95,33.7,13,49,26.5,24,28,85.7,14,32,46,23,9,2,14,24,-17
ATL,ATL @ WAS,3/6/20,L,240,112,46,86,53.5,12,32,37.5,8,12,66.7,6,30,36,25,9,4,18,25,-6
ATL,ATL vs. MEM,3/2/20,L,240,88,32,99,32.3,9,35,25.7,15,16,93.8,16,27,43,20,6,8,17,21,-39
ATL,ATL vs. POR,2/29/20,W,240,129,46,84,54.8,18,42,42.9,19,22,86.4,5,31,36,34,7,5,19,18,12
ATL,ATL vs. BKN,2/28/20,W,240,141,50,97,51.5,19,39,48.7,22,30,73.3,15,37,52,32,8,4,10,15,23
ATL,ATL vs. ORL,2/26/20,L,240,120,42,94,44.7,13,36,36.1,23,25,92,9,33,42,30,5,5,9,22,-10
ATL,ATL @ PHI,2/24/20,L,240,112,40,97,41.2,8,38,21.1,24,27,88.9,14,30,44,19,5,2,13,26,-17
ATL,ATL vs. DAL,2/22/20,W,240,111,43,98,43.9,8,37,21.6,17,26,65.4,13,40,53,27,9,4,10,21,4
ATL,ATL vs. MIA,2/20/20,W,240,129,41,85,48.2,16,35,45.7,31,35,88.6,6,35,41,22,8,6,16,27,5
ATL,ATL @ CLE,2/12/20,L,240,105,36,84,42.9,13,34,38.2,20,25,80,9,29,38,24,11,5,17,26,-22
ATL,ATL @ ORL,2/10/20,L,240,126,47,88,53.4,16,37,43.2,16,17,94.1,4,27,31,33,5,5,12,18,-9
ATL,ATL vs. NYK,2/9/20,W,290,140,49,108,45.4,14,40,35,28,31,90.3,11,39,50,29,9,8,15,24,5
ATL,ATL @ BOS,2/7/20,L,240,107,35,86,40.7,13,39,33.3,24,26,92.3,12,34,46,21,7,8,14,21,-5
ATL,ATL @ MIN,2/5/20,W,240,127,43,82,52.4,13,32,40.6,28,30,93.3,7,37,44,23,7,4,21,22,7
