TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
ATL,ATL vs. BKN,1/12/18,L,48,105,111.1,-6.1,56.8,1.17,15.8,28.3,72.2,52,18,53.1,57.4,99.5,48.4
ATL,ATL @ DEN,1/10/18,W,48,113.4,100,13.4,62.5,1.56,18.8,27.5,65.6,50.5,16.5,57.5,62.6,97,57.4
ATL,ATL @ LAC,1/8/18,L,48,102.9,104.9,-2,52.6,1.43,13.5,39.3,69.8,53.5,13.5,44.8,49.2,103.5,50.6
ATL,ATL @ LAL,1/7/18,L,48,106.6,123.4,-16.8,53.7,1.47,15.5,24.6,75,45.4,14.2,50,54.3,106.5,38.1
ATL,ATL @ POR,1/5/18,L,48,89,110,-21,46.7,0.88,11,24.1,77.5,46.8,16,41,47.3,100,32.9
ATL,ATL @ PHX,1/2/18,L,48,105.1,104,1.1,50,1.13,13.5,31.5,64.3,45.8,16.3,47.1,52.6,99,44.6
ATL,ATL vs. POR,12/30/17,W,48,109.5,94.7,14.8,72.5,2.23,20.9,32,66.7,49.5,13.7,52.8,54.4,94.5,59.5
ATL,ATL @ TOR,12/29/17,L,48,101,116.8,-15.8,55.3,1.17,15.2,39.6,58.3,49.6,18.6,48.3,50.6,96,45.3
ATL,ATL vs. WAS,12/27/17,W,48,113,100,13,68.3,2.33,18.9,37.9,79.6,57,12,49.5,52.9,99.5,56.9
ATL,ATL vs. DAL,12/23/17,W,48,121.7,117.6,4.2,69,1.93,22.3,27.8,74.4,53.2,16.3,62.7,66.1,91.5,52.4
ATL,ATL @ OKC,12/22/17,L,48,119.4,123.7,-4.3,63.6,1.65,20.4,34.1,51.2,42.7,17.3,60.6,63.3,97.5,48.5
ATL,ATL vs. IND,12/20/17,L,48,104.4,115.4,-11,77.1,1.93,20.3,32.6,76.2,53.4,15.4,48.1,52.9,91,48.3
ATL,ATL vs. MIA,12/18/17,W,48,111.1,105.1,6.1,65.8,1.92,18.4,29.2,67.4,47.9,13.1,50.6,56.9,99,54.7
ATL,ATL @ MEM,12/15/17,L,48,97.9,101.1,-3.1,79.4,1.59,20.6,20.5,70.5,45.5,17.7,51.9,55.9,95.5,52.8
ATL,ATL vs. DET,12/14/17,L,48,97.8,112.9,-15.1,87.5,1.65,21.5,20.5,58,40.4,18.3,53.6,55.9,93,46.8
ATL,ATL @ CLE,12/12/17,L,48,118.8,128.1,-9.4,60.5,2.6,19.4,28,79.5,50.6,10.4,55.4,58.3,96,45.5
ATL,ATL @ NYK,12/10/17,L,48,108.1,113.3,-5.2,59.5,1.38,16.8,27.9,77.3,52.9,16.2,53.9,59.3,98.5,49.7
ATL,ATL vs. ORL,12/9/17,W,48,121.9,113.4,8.5,80.5,2.75,23.7,23.8,70.2,48.3,12.5,61.9,64.3,96.5,53.8
ATL,ATL @ ORL,12/6/17,L,53,100,103.8,-3.8,62.5,1.32,17.1,27.3,67.9,47.7,17.9,48.9,52.1,96,50.8
ATL,ATL vs. BKN,12/4/17,L,48,86.5,107.8,-21.3,60,1,13.6,20.4,68.9,42.4,17.3,42.1,47.9,103,36.8
ATL,ATL @ BKN,12/2/17,W,48,117.5,104.1,13.4,38.3,1.8,13.6,31.5,71.4,50.5,10.3,52.5,54.2,97.5,54.8
ATL,ATL vs. CLE,11/30/17,L,48,112.9,122.2,-9.4,58.5,1.33,17.6,26.8,65.8,45.6,17.8,59.5,63.6,100,45.5
ATL,ATL vs. TOR,11/25/17,L,48,84.8,120.4,-35.6,69.2,0.95,14.8,26,66.7,43.8,20.7,38.7,45.8,92.5,29.1
ATL,ATL vs. NYK,11/24/17,W,48,118.4,106.1,12.2,63.8,3,20.5,33.3,79.5,52.7,10.2,54,55.6,98,52.6
ATL,ATL vs. LAC,11/22/17,L,48,109.6,124.7,-15.2,65,1.73,19.5,31.8,75,51.3,16,54.2,57.5,93.5,44.3
ATL,ATL @ SAS,11/20/17,L,48,90.4,102.1,-11.7,56.8,1.4,16.8,21.2,65.3,42.6,16,48.2,48,94,41.2
ATL,ATL vs. BOS,11/18/17,L,48,105.3,117,-11.7,64.9,1.71,18.9,20.9,71.1,46.6,14.9,53.2,57,94,46.9
ATL,ATL vs. SAC,11/15/17,W,48,131.3,83.3,47.9,80,2.11,27.4,34.4,77,62.4,19.8,73.4,73.2,96,79.5
ATL,ATL @ NOP,11/13/17,L,48,111.7,112.8,-1.1,62.5,1.56,18.8,31.9,72.2,49.4,17,55.7,57.7,94,45.5
ATL,ATL @ WAS,11/11/17,L,48,94.9,113,-18.1,55.9,0.79,14.3,30.8,62.5,44.6,24.2,49.4,51.9,99.5,32.8
ATL,ATL @ DET,11/10/17,L,48,103,112.1,-9.2,63.6,1.75,19.7,27.7,61.8,46.1,15.8,53.9,55.4,100,51.9
ATL,ATL vs. BOS,11/6/17,L,48,110.3,114.6,-4.3,61.5,1.71,18.9,20,72.7,46.1,14.4,56.2,59.6,96.5,48.1
ATL,ATL @ CLE,11/5/17,W,48,114.7,112.7,2,58.5,1.41,16.9,32,64.8,49,16.7,54.1,57.9,102,50.5
ATL,ATL vs. HOU,11/3/17,L,48,103,117.8,-14.9,41,0.89,12.8,18.2,78,50,17.8,54.9,58.5,101,42.8
ATL,ATL @ PHI,11/1/17,L,48,97.3,106.3,-8.9,53.7,1.22,15,25.5,67.2,46.9,16.1,47.9,51.5,112,42.9
ATL,ATL vs. MIL,10/29/17,L,48,103.9,113.6,-9.7,75,1.69,20.1,11.1,87.5,47.1,15.7,55.2,59.9,102.5,43.8
ATL,ATL vs. DEN,10/27/17,L,48,105.3,107.1,-1.9,62.2,1.92,17.6,25,60.4,42.9,12.6,49.4,53,96.5,45.4
