TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
ATL,ATL vs. NYK,3/11/20,L,53,114.9,116.2,-1.3,54.2,1.53,16.4,30.6,83.3,53.6,14.9,51.9,55.8,104.6,42.4
ATL,ATL vs. CHA,3/9/20,W,58,132.4,125.5,7,62.3,2.06,20.9,36.2,77.2,58.7,14.8,66.1,66.3,90.21,50.5
ATL,ATL @ MEM,3/7/20,L,48,95.3,110.3,-15,71.9,1.64,15.9,25,68,43.9,13.2,40.5,47.1,106.5,37.1
ATL,ATL @ WAS,3/6/20,L,48,110.9,116.8,-5.9,54.3,1.39,18.4,23.8,74.4,49.4,17.8,60.5,61.3,101,47.1
ATL,ATL vs. MEM,3/2/20,L,48,84.6,119.8,-35.2,62.5,1.18,14,28.4,64,43.6,16.3,36.9,41.5,105,25.3
ATL,ATL vs. POR,2/29/20,W,48,124,112.5,11.5,73.9,1.79,23.3,19.5,67.3,45.6,18.3,65.5,68.9,104,61.1
ATL,ATL vs. BKN,2/28/20,W,48,135.6,112.4,23.2,64,3.2,20.9,33.3,76.9,55.3,9.6,61.3,64,104.5,58.5
ATL,ATL vs. ORL,2/26/20,L,48,116.5,125,-8.5,71.4,3.33,20.7,23.1,68.5,46.2,8.7,51.6,57.1,103.5,46
ATL,ATL @ PHI,2/24/20,L,48,108.7,125.2,-16.5,47.5,1.46,13.5,32.2,72.7,49.5,12.6,45.4,51.4,103,36.4
ATL,ATL vs. DAL,2/22/20,W,48,109.9,105.9,4,62.8,2.7,18.2,32.8,75.5,52.6,9.9,48,50.7,101,52.8
ATL,ATL vs. MIA,2/20/20,W,48,117.3,112.7,4.5,53.7,1.38,15.7,17,65.6,44.4,14.5,57.6,64.2,110,52.4
ATL,ATL @ CLE,2/12/20,L,48,101.9,121,-19,66.7,1.41,17.5,20,61.2,40.4,16.5,50.6,55.3,104,39.9
ATL,ATL @ ORL,2/10/20,L,48,127.3,136.4,-9.1,70.2,2.75,23.9,19,60.4,41.1,12.1,62.5,66,99,46.4
ATL,ATL vs. NYK,2/9/20,W,58,115.7,110.7,5,59.2,1.93,17.5,27.9,65.6,46.7,12.4,51.9,57.5,100.55,51.9
ATL,ATL @ BOS,2/7/20,L,48,108.1,113.1,-5.1,60,1.5,15.6,28.8,71.7,50.5,14.1,48.3,54.9,99,47.5
ATL,ATL @ MIN,2/5/20,W,48,116.5,109.1,7.4,53.5,1.1,16.3,22.5,78.4,53.8,19.3,60.4,66.7,109.5,55.3
